Pavadinimas,Autorius,Metai,Puslapiai,Kaina,Akcijinė kaina,Perskaitytos kaina,Leidėjas,Formatas,Kalba,Įvertinimų skaičius,Žvaigždučių skaičius,Aprašymas
Lietuvos vaikų pasakos. 9 knyga,Giedrė Petreikienė,2016,128,5.99,5.39,0,Kalendorius,"23.5 x 23.5 cm, minkšti viršeliai",Lietuvių,0,0,
Lietuvos vaikų pasakos. 4 knyga (knyga su defektais),Giedrė Petreikienė,2011,96,0,0,0,Kalendorius,"23,5 x 23 cm, minkšti viršeliai",Lietuvių,0,0,
Lietuvos vaikų pasakos. 3 knyga,Giedrė Petreikienė,2010,48,7.65,6.89,0,Kalendorius,"21 x 29,5 cm, minkšti viršeliai",Lietuvių,0,0,
Liežuviukas Šaunuoliukas,Mani Leib,2021,12,3.85,3.47,0,Slinktys,"22,5 x 22,5 x 0,3 cm, minkšti viršeliai",Lietuvių,0,0,
Liftas,Kätlin Vainola,2016,30,0,0,4.29,700 eilučių,"24 x 16,7 x 0,5 cm, kieti viršeliai",Lietuvių,4,5,
Lilė ir Liusė,Anna Veriopoulou,2020,40,0,0,8.19,Dvi tylos,"24,5 x 22,5 x 1 cm, kieti viršeliai",Lietuvių,0,4,
Lilė ir Saulės sergėtoja,Maja Lunde,2021,208,7.59,4.95,7.59,Tyto alba,"24,2 x 27,6 x 2 cm, kieti viršeliai",Lietuvių,7,5,
"Lindbergas. Peliukas, kuris perskrido Atlantą",Torben Kuhlmann,2016,96,0,0,0,Nieko rimto,"21,9 x 28,6 x 1,3 cm, kieti viršeliai",Lietuvių,4,5,
Linkėjimai metų laikams (Dainelės su fonogramomis),Alma Karosaitė,2016,96,0,0,0,Nieko rimto,"14 x 13, minkšti viršeliai",Lietuvių,4,3,
Linksmas vėjas,Paulius Širvys,2004,32,0,0,12.87,Žara,"17 x 24 cm, minkšti viršeliai",Lietuvių,0,0,
Linksmasis delfinas: pakratyk mane,Paulius Širvys,2021,8,8.89,4.00,0,Vaiga,"19,5 x 14,5 cm, kieti viršeliai",Lietuvių,0,0,
Linksmasis šuniukas: nuotykis parke,Paulius Širvys,2022,8,0,0,0,Vaiga,"19 x 13,5 x 1 cm, kieti viršeliai",Lietuvių,0,0,
Linksmasis ūkis: pirmieji žodeliai ir žodelyčiai,Paulius Širvys,2022,12,3.79,3.41,0,Trys nykštukai,"16 x 9 x 1,4 cm, kieti viršeliai",Lietuvių,0,0,
Linksmasis ūkis. Garsų pasaulis,Paulius Širvys,2015,8,0,0,0,Presvika,"22,2 x 26 x 1,1 cm, kieti viršeliai",Lietuvių,0,0,
Linksmi laukiniai gyvūnai: paliesk ir pajusk,Paulius Širvys,2020,10,8.39,6.71,0,Vaiga,"9 x 12,5 cm, minkšti viršeliai",Lietuvių,0,0,
Linksmieji galvosūkiai – Mamulė Mū ir Varna,Jujja Wieslander,2013,32,0,0,0,Nieko rimto,"21 x 29 cm, minkšti viršeliai",Lietuvių,0,0,
Linksmų KALĖDŲ! 6 dėlionės,Jujja Wieslander,2021,12,8.11,7.30,0,Presvika,"16,5 x 16,5 x 3 cm, kieti viršeliai",Lietuvių,0,0,
Linksmieji gyvūnėliai,Jujja Wieslander,2005,8,0,0,4.59,Mūsų knyga,"16 x 19 cm, kieti viršeliai",Lietuvių,0,0,
Linksmieji skaičiai. Nutrink lengvai,Brenda Apsley,2012,14,0,0,0,Alma littera,"31,5 x 24,1 x 1,2 cm, kieti viršeliai",Lietuvių,0,0,
"RAIDŽIŲ NAMUČIAI. Eiliuota ir įgarsinta abėcėlė, kurios autorė – Ramutė Skučaitė, o įgarsino aktorė Ilona Balsytė",Ramutė Skučaitė,2021,60,0,0,14.79,Baltos lankos,"32,5 x 23,2 x 2,5 cm, kieti viršeliai",Lietuvių,55,4,
"LINKSMOJI ABĖCĖ: tyrinėti, sužinoti ir išmokti lengviausia tada, kai tai daryti smagu ir vaikams, ir suaugėliams!",Živilė Adomaitytė,2019,24,8.89,8.00,0,Baltos lankos,"22,5 x 22,5 x 1,7 cm, kieti viršeliai",Lietuvių,20,5,
Linksmoji dantukų ekspedicija,Simona Šukienė,2021,40,10.19,9.17,10.19,M. Ardzijauskas,"24,5 x 24,5 x 0,8 cm, kieti viršeliai",Lietuvių,1,5,
Linksmos istorijos. Barnis tvarkosi,Simona Šukienė,2004,32,0,0,0,Naujoji Rosma,"21,5 cm, minkšti viršeliai",Lietuvių,0,0,
Linksmosios rungtynės,Simona Šukienė,2013,8,0,0,0,Alma littera,"30 x 28 cm, kieti viršeliai",Lietuvių,0,0,
Linksmų Kalėdų! Pajudink ir pažadink,Simona Šukienė,2022,10,10.59,7.94,0,Vaiga,"19 x 19 x 1,5 cm, kieti viršeliai",Lietuvių,0,0,
Linksmų Kalėdų su Marliu!,John Grogan,2011,32,0,0,15.27,Obuoliukas,"25,4 x 25,4 cm, kieti viršeliai",Lietuvių,6,4,
Linksmučių kaimas,Alfredas Steiblys,2014,12,0,0,0,Trys nykštukai,"10,5 x 10 cm, kieti viršeliai",Lietuvių,0,0,
Linksmuolių gatvė: pirmieji žodeliai ir žodelyčiai,Alfredas Steiblys,2022,12,3.79,3.41,0,Trys nykštukai,"16 x 9 x 1,4 cm, kieti viršeliai",Lietuvių,0,0,
Lipdome iš plastilino. Gyvūnai,Alfredas Steiblys,2011,14,0,0,0,Presvika,"13 x 16 cm, kieti viršeliai",Lietuvių,0,0,
Lipdome iš plastilino. Mano pasaulis,Alfredas Steiblys,2011,14,0,0,0,Presvika,"13 x 16 cm, kieti viršeliai",Lietuvių,1,1,
Šmiru šmiru paslapčia...,Darius Babelis,2018,36,0,0,0,Lututė,"21 x 20 x 0,3 cm, minkšti viršeliai",Lietuvių,2,5,
Liūtas karalius,Darius Babelis,2024,96,12.89,10.34,12.89,Egmont Lietuva,"20,3 x 27,2 x 1,3 cm, kieti viršeliai",Lietuvių,1,5,
Liūtas Karalius audioknyga,Darius Babelis,2012,96,0,0,0,Egmont Lietuva,"14 x 13 cm, kieti viršeliai",Lietuvių,0,0,
Liūtas karalius,Darius Babelis,2022,64,0,0,30.99,Egmont Lietuva,"20,5 x 27,5 x 1 cm, kieti viršeliai",Lietuvių,0,0,
Liūto riaumojimas,Juris Zvirgzdiņš,2016,56,0,0,29.79,Debesų ganyklos,"21,5 x 26,6 x 1,3 cm, kieti viršeliai",Lietuvių,1,5,
Liūtų sargyba,Juris Zvirgzdiņš,2016,64,0,0,11.79,Egmont Lietuva,"21 x 29 x 1 cm, kieti viršeliai",Lietuvių,0,0,
LK Maša Kardadantis lokys,Juris Zvirgzdiņš,2018,24,0,0,0,Egmont Lietuva,"21 x 29 x 0,8 cm, minkšti viršeliai",Lietuvių,1,5,
"Laikas miegoti, lokiuk",Sam Taplin,2021,216,0,0,21.39,Baltos lankos,"21,5 x 21,6 x 2 cm, kieti viršeliai",Lietuvių,4,4,
Lokiukas Benas išalko: 1-2 metų vaikams,Anna Taube,2018,12,0,0,0,Presvika,"13 x 13 x 1,8 cm, kieti viršeliai",Lietuvių,2,5,
Lokys bibliotekininkas,Alison Donald ir Alex Willmore,2017,35,0,0,12.99,Baltos lankos,"26,5 x 26,5 x 0,5 cm, kieti viršeliai",Lietuvių,2,5,
Lokys ir pianinas,David Litchfield,2021,40,14.75,12.54,0,Vilko reikalai,"22,5 x 30 x 1 cm, kieti viršeliai",Lietuvių,0,0,
Looney Tunes. Tvytis ir bitutės,David Litchfield,2016,24,0,0,3.39,Obuoliukas,"21 x 25,8 cm, kieti viršeliai",Lietuvių,8,2,
Lopšinės mylimam vaikui,Stanislovas Abromavičius,2012,48,0,0,17.79,Obuoliukas,"22 x 28,8 cm, kieti viršeliai",Lietuvių,9,5,
Lopšinės,Stanislovas Abromavičius,2002,16,0,0,0,Dajalita,"22 x 28 cm, minkšti viršeliai",Lietuvių,0,0,
Loris Lėtapėdis,Evelina Daciūtė,2023,24,12.79,5.09,0,Alma littera,"21,5 x 25 x 0,7 cm, kieti viršeliai",Lietuvių,1,5,
Lota moka važiuoti dviračiu,Astrid Lindgren,2023,32,12.49,11.24,12.49,Garnelis,"21,5 x 28,5 x 1 cm, kieti viršeliai",Lietuvių,2,5,
Lubinų labirintas. Geriausios meškių istorijos,Evelina Daciūtė,2023,64,13.79,9.65,0,Alma littera,"22,5 x 22,5 x 1 cm, kieti viršeliai",Lietuvių,0,5,
Lyzelotė tyko,Alexander Steffensmeier,2015,28,0,0,12.99,Baltos lankos,"24 x 31 cm, kieti viršeliai",Lietuvių,2,5,
Madagaskaras 3. Linksmasis cirkas,Alexander Steffensmeier,2012,26,0,0,0,Egmont Lietuva,"24 x 24 cm, kieti viršeliai",Lietuvių,0,4,
"MADAGASKARO PINGVINAI. Žiūrėk, mygtukas!",Alexander Steffensmeier,2017,8,0,0,0,Obuoliukas,"21,5 x 22 x 1,2 cm, kieti viršeliai",Lietuvių,7,3,
Madingiausias krokodilas,Nijolė Kepenienė,2013,32,0,0,42.99,Alma littera,"22 x 30 cm, kieti viršeliai",Lietuvių,6,4,
"Maestro, muzika! Susipažinkite su garsiausių kompozitorių kūriniais!",Nijolė Kepenienė,2021,14,13.89,12.50,0,Baltos lankos,"21,5 x 21,5 x 1,7 cm, kieti viršeliai",Lietuvių,6,4,
Magiškas princesių pasaulis: mokykis ir žaisk su 16 magnetukų,Nijolė Kepenienė,2021,12,0,0,0,Vaiga,"20,5 x 25,5 x 1 cm, kieti viršeliai",Lietuvių,0,0,
Magnetinis raidynas. TAI BENT ABĖCĖLĖ!,Nijolė Kepenienė,2016,12,19.79,14.84,0,Presvika,19 x 26 cm,Lietuvių,3,5,
Magnetukai. Snieguolė ir septyni nykštukai,Nijolė Kepenienė,2009,10,0,0,0,Alma littera,"29,8 x 31,8 cm, kieti viršeliai",Lietuvių,0,0,
Magnetukai Tik tak. Roželės šventė,Nijolė Kepenienė,2009,10,0,0,0,Alma littera,"26,1 x 31,6 cm, kieti viršeliai",Lietuvių,0,0,
Maišelis nuotykių. Skaityk ir klausykis!,Lorella Flamini,2017,12,0,0,0,Trys nykštukai,"25,5 x 22 x 1,1 cm, kieti viršeliai",Lietuvių,1,5,
Makaronai sniego žmogui,Adam Guillain,2016,32,0,0,0,Nieko rimto,"24 x 28,1 x 0,8 cm, kieti viršeliai",Lietuvių,5,5,
Maksas ir 92 musės,Aušra Kiudulaitė,2020,40,0,0,17.79,Tikra knyga,"25,5 x 23 x 1 cm, kieti viršeliai",Lietuvių,12,4,
Malūnų slėnis,Noelia Blanco,2016,32,0,0,18.99,Nieko rimto,"25,4 x 26,1 x 0,8 cm, kieti viršeliai",Lietuvių,6,4,
Mama,Hélène Delforge,2022,72,13.33,12.00,13.33,Nieko rimto,"22,4 x 33,6 x 1 cm, kieti viršeliai",Lietuvių,3,5,
"Mama, aš tave myliu (2019)",Hélène Delforge,2019,14,0,0,16.59,Alma littera,"14,5 x 14,5 x 1,6 cm, kieti viršeliai",Lietuvių,6,4,
"Mama, kur tu?",Przemysław Wechterowicz,2020,32,0,0,8.06,Nieko rimto,"25 x 25 x 0,7 cm, kieti viršeliai",Lietuvių,2,3,
Mamos ir jaunikliai. Išlankstoma knygelė,Przemysław Wechterowicz,2014,12,0,0,0,Ramduva,"10,5 x 10 cm, kieti viršeliai",Lietuvių,1,1,
Mamų pasakos,Astra Kar,2015,64,9.73,8.76,0,Astra Kar,"21,5 x 28 cm, kieti viršeliai",Lietuvių,3,4,
Mamulė Mū. Pasakėlės ir dainelės (CD),Jujja ir Tomas Wieslander,2017,64,0,0,0,Nieko rimto,"12,5 x 14 x 1 cm, dėžutė",Lietuvių,2,5,
Mamulė Mū čiuožinėja nuo čiuožyklos,Jujja Wieslander,2011,28,0,0,42.99,Nieko rimto,"21 x 28 cm, kieti viršeliai",Lietuvių,2,5,
Mamulė Mū ir Varna. Skaičiuok,Jujja Wieslander,2018,32,0,0,8.19,Nieko rimto,"21 x 30 cm, minkšti viršeliai",Lietuvių,1,5,
Mamulė Mū ir Varna. Spalvink,Jujja Wieslander,2013,32,0,0,0,Nieko rimto,"21 x 30 cm, minkšti viršeliai",Lietuvių,0,0,
Mamulė Mū ir Varna,Jujja ir Tomas Wieslander,2017,128,0,0,30.99,Nieko rimto,"15 x 22 x 0,5 cm, kieti viršeliai",Lietuvių,6,4,
Mamulė Mū plaukioja,Jujja Wieslander,2016,28,0,0,17.79,Nieko rimto,"21 x 28,1 x 0,8 cm, kieti viršeliai",Lietuvių,1,5,
Mamulė Mū skaito,Jujja Wieslander,2013,28,0,0,48.99,Nieko rimto,"21 x 27,5 cm, kieti viršeliai",Lietuvių,0,4,
Mamulė Mū supasi,Jujja ir Tomas Wieslander,2012,28,0,0,42.99,Nieko rimto,"21 x 28 cm, kieti viršeliai",Lietuvių,4,5,
Mamulė Mū tvarkosi,Jujja Wieslander,2009,56,0,0,42.99,Nieko rimto,"21 x 28,1 x 0,8 cm, kieti viršeliai",Lietuvių,1,5,
Mamulė Mū,Jujja ir Tomas Wieslander,2007,56,0,0,0,Nieko rimto,"21 x 28,3 x 0,8 cm, kieti viršeliai",Lietuvių,0,5,
Mamulės Mū ir Varnos Kalėdos,Jujja Wieslander,2016,28,0,0,24.99,Nieko rimto,"21 x 28 x 0,4 cm, kieti viršeliai",Lietuvių,1,5,
"Mamyte, aš tave myliu",Priddy Books,2021,10,0,0,0,Baltos lankos,"21 x 21 x 1,9 cm, kieti viršeliai",Lietuvių,2,5,
Man 1 metai. Meškiukas,Priddy Books,2013,14,0,0,0,Ramduva,"15 x 15,5 cm, kieti viršeliai",Lietuvių,1,5,
Man 2 metai. Mano linksmieji gyvūnėliai,Priddy Books,2017,14,0,0,0,Ramduva,"15,5 x 15,5 cm, kieti viršeliai",Lietuvių,1,5,
Man 2 metai. Maži ir dideli,Lieve Boumans,2016,14,3.15,2.84,0,Ramduva,"15,3 x 17 x 0,9 cm, kieti viršeliai",Lietuvių,1,5,
Man 2 metai. Automobiliai ir sunkvežimiai,Lieve Boumans,2016,14,0,0,0,Ramduva,"15,2 x 17 x 1 cm, kieti viršeliai",Lietuvių,0,0,
Man 2 metai. Spalvos,Lieve Boumans,2012,16,0,0,0,Ramduva,"15,5 x 15,5 cm, kieti viršeliai",Lietuvių,0,0,
Man 2 metai. Triušis,Lieve Boumans,2017,14,3.00,2.70,0,Ramduva,"15 x 15,5 x 1 cm, kieti viršeliai",Lietuvių,0,0,
Man 3 metai. Gyvūnai soduose ir parkuose,Lieve Boumans,2017,14,3.15,2.84,0,Ramduva,"15,5 x 15,5 cm, kieti viršeliai",Lietuvių,1,5,
"Man 3 metai. Laba diena, gyvūnėliai!",Lieve Boumans,2011,14,0,0,0,Ramduva,"15 x 16 cm, kieti viršeliai",Lietuvių,0,0,
Man 3 metai. Mokausi tarti žodžius,Lieve Boumans,2011,14,0,0,0,Ramduva,"14 x 16 cm, kieti viršeliai",Lietuvių,0,0,
Man 3 metai. Skaičiuoju pirštais,Lieve Boumans,2012,16,0,0,0,Ramduva,"15,5 x 15,5 cm, kieti viršeliai",Lietuvių,2,4,
Man reikia baubo,Amanda Noll,2017,32,0,0,0,Lietuvos rašytojų sąjungos leidykla,"26 x 26 x 0,7 cm, kieti viršeliai",Lietuvių,4,4,
Mandagumas atvirkščiai,Alma Karosaitė,2009,48,0,0,0,Žuvėdra,"15 x 21 cm, minkšti viršeliai",Lietuvių,2,5,
Mandagumo abėcėlė,Natalija Čub,2020,112,7.19,5.39,7.19,Liūtai ne avys,"22 x 29 x 1,3 cm, kieti viršeliai",Lietuvių,15,4,
Mandagumo pamokėlės: etiketas vaikams,Joana Krzyzanek,2006,47,0,0,0,Alma littera,"21 x 29,5 x 1 cm, kieti viršeliai",Lietuvių,1,5,
Manęs nėra,Ignė Zarambaitė,2022,32,10.69,9.62,10.69,Nieko rimto,"25,4 x 28,6 x 0,8 cm, kieti viršeliai",Lietuvių,3,4,
Mano abėcėlė: su magnetukais,Ignė Zarambaitė,2022,64,30.69,21.48,0,Alma littera,"32,5 x 22,5 x 3,5 cm, kieti viršeliai",Lietuvių,0,0,
Mano antroji knyga,Ignė Zarambaitė,2012,20,0,0,0,Naujoji Rosma,"20 x 27 cm, kieti viršeliai",Lietuvių,3,5,
Mano anūko istorijos,Vladas Korsakovas,2021,84,12.99,9.79,12.99,V. Korsakovas,"21,5 x 26,5 x 1,2 cm, kieti viršeliai",Lietuvių,3,5,
Mano batai buvo du,Kostas Kubilinskas,2016,8,0,0,0,Alma littera,"23 x 23 x 1,5 cm, kieti viršeliai",Lietuvių,1,5,
Mano dainelės,Kostas Kubilinskas,2022,8,16.25,11.38,0,Alma littera,"23 x 23 x 1,5 cm, kieti viršeliai",Lietuvių,0,0,
Mano dainelės,Kostas Kubilinskas,2021,8,0,0,18.99,Alma littera,"23 x 23 x 1,4 cm, kieti viršeliai",Lietuvių,12,4,
Mano darželis,Fanny Bruun,2008,50,0,0,2.79,Alma littera,"23 x 31,2 x 0,9 cm, kieti viršeliai",Lietuvių,1,5,
Mano didžioji emocijų knyga: puikūs trumpi pasakojimai apie emocijas ir jausmus,Fanny Bruun,2020,112,9.73,7.30,0,Presvika,"20,5 x 23,5 x 1,8 cm, kieti viršeliai",Lietuvių,3,5,
Mano didžioji pasakų knyga,Fanny Bruun,2011,112,0,0,0,Vaiga,"23 x 30 cm, kieti viršeliai",Lietuvių,2,2,
Mano didžioji paveikslėlių knyga. Kaime,Fanny Bruun,2012,10,0,0,0,Presvika,"24 x 27 cm, kieti viršeliai",Lietuvių,3,3,
Mano didžioji paveikslėlių knyga. Miške,Fanny Bruun,2012,10,0,0,0,Presvika,"24 x 27 cm, kieti viršeliai",Lietuvių,4,5,
Mano didžioji paveikslėlių knyga. Miško gyvūnai,Fanny Bruun,2012,10,0,0,0,Presvika,"24 x 27 cm, kieti viršeliai",Lietuvių,4,5,
Mano didžioji paveikslėlių knyga. Namie,Fanny Bruun,2012,10,0,0,0,Presvika,"24 x 27 cm, kieti viršeliai",Lietuvių,1,5,
Mano diena,Pavla Hanáčková,2020,11,9.00,8.10,0,Nieko rimto,"18 x 18 x 2 cm, kieti viršeliai",Lietuvių,0,0,
Mano diena. 3 vienoje,Pavla Hanáčková,2017,20,0,0,0,Ramduva,"9 x 27 x 1,7 cm, kieti viršeliai",Lietuvių,0,0,
"Mano diena: pažink laikrodį, klausyk garsų",Pavla Hanáčková,2020,10,0,0,0,Presvika,"27 x 23 x 1,3 cm, kieti viršeliai",Lietuvių,1,3,
Mano diena. Knyga su atveriamais langeliais,Olga Ulasėvič,2007,7,0,0,8.19,Presvika,"20 x 20 cm, kieti viršeliai",Lietuvių,14,4,
"Mano diena: rytas, žaidimai, vakaras",Olga Ulasėvič,2014,18,0,0,0,Ramduva,"9 x 27 cm, kieti viršeliai",Lietuvių,0,0,
Mano dovanėlė,Pranas Mašiotas,2012,96,0,0,12.87,Alma littera,"15 x 20,5 cm, kieti viršeliai",Lietuvių,0,3,
Mano draugas Fredas,Werner Holzwarth,2021,32,8.11,4.87,0,Presvika,"23 x 30 x 0,7 cm, kieti viršeliai",Lietuvių,0,0,
Mano draugas Hipokampas Unikornas,Jurga Vilė,2024,40,15.49,13.94,0,700 eilučių,"24,5 x 27 cm, kieti viršeliai",Lietuvių,0,0,
Mano draugas Paukštelis,Rasa Joni,2014,64,6.74,4.04,0,Joni Art,"23 x 27,5 cm, kieti viršeliai",Lietuvių,0,0,
"Mano draugė Laimė. Stebuklinga draugė, kuri išsklaido visus rūpesčius",Hannah Campling,2024,24,3.59,2.69,0,Vaiga,"25 x 25 cm, minkšti viršeliai",Lietuvių,0,0,
MANO JAUSMAI,Aurélie Chien Chow Chine,2019,96,9.75,6.99,9.75,Baltos lankos,"19 x 19 x 1,1 cm, kieti viršeliai",Lietuvių,12,4,
Kakė Makė. Mano filmas. Gražiausios dainos,Aurélie Chien Chow Chine,2024,8,20.79,14.19,0,Alma littera,"23,1 x 23,1 x 1,7 cm, kieti viršeliai",Lietuvių,0,0,
Mano gaisrinis automobilis,Aurélie Chien Chow Chine,2023,12,9.59,5.75,0,Vaiga,"17 x 22 x 1,2 cm, kieti viršeliai",Lietuvių,0,0,
Mano garsų knyga. Kalėdos,Aurélie Chien Chow Chine,2015,8,0,0,0,Presvika,"26 x 22,2 x 1,1 cm, kieti viršeliai",Lietuvių,6,3,
Mano geriausios atostogos,Tomas Liutkevičius,2022,48,9.19,3.69,9.19,Alma littera,"21,6 x 21,6 x 1 cm, kieti viršeliai",Lietuvių,10,5,
Mano gyvūnai. Liesk ir pažink,Tomas Liutkevičius,2014,48,0,0,17.49,Alma littera,"21,6 x 21,6 x 1 cm, kieti viršeliai",Lietuvių,0,0,
Mano gyvūnai. Mažyliams su liečiamais silikono paviršiais,Tomas Liutkevičius,2019,10,0,0,0,Presvika,"17,5 x 17,5 x 2 cm, kieti viršeliai",Lietuvių,0,0,
Mano gyvūnai: vaikams iki 1 metų,Tomas Liutkevičius,2022,14,4.09,3.07,0,Presvika,"14 x 15 x 0,9 cm, kieti viršeliai",Lietuvių,0,0,
Mano gyvūnai. My animals,Erica Jennings-Didžiulis,2011,32,0,0,2.50,Alma littera,"21,5 x 27 cm, kieti viršeliai","Lietuvių, Anglų",1,5,
Mano gyvūnėliai. Man 2 metai,Erica Jennings-Didžiulis,2012,8,0,0,0,Ramduva,"15 x 15,5 cm, kieti viršeliai",Lietuvių,0,0,
Mano gyvūnėliai (2018),Erica Jennings-Didžiulis,2018,12,0,0,0,Vaiga,"14,5 x 14,5 x 2,3 cm, kieti viršeliai",Lietuvių,2,5,
Mano gyvūnų dėžutė. Liesk ir pažink,Erica Jennings-Didžiulis,2014,12,0,0,6.99,Alma littera,"14,5 x 14,5 x 2,3 cm, kieti viršeliai",Lietuvių,0,0,
Mano gyvūnų knyga,Erica Jennings-Didžiulis,2012,34,0,0,0,Alma littera,"16 x 16 cm, kieti viršeliai",Lietuvių,0,5,
Mano įgarsinta ABĖCĖLĖ. 211 įgarsintų žodžių,Erica Jennings-Didžiulis,2016,16,0,0,0,Presvika,"30 x 30 x 2 cm, kieti viršeliai",Lietuvių,1,1,
Mano įrankių dėžė. Su išimamomis detalėmis,Erica Jennings-Didžiulis,2017,8,0,0,0,Vaiga,"26,5 x 17,5 x 2 cm, minkšti viršeliai",Lietuvių,1,5,
Mano išmanusis laikrodis,Erica Jennings-Didžiulis,2016,10,0,0,0,Presvika,"22 x 26 x 1,5 cm, kieti viršeliai",Lietuvių,4,5,
"Mano jausmai. Ką jie reiškia? 44 jausmai, apie kuriuos verta pamąstyti",Jennifer Moore-Mallinos,2018,96,0,0,0,Alma littera,"21 x 24 x 1,2 cm, minkšti viršeliai",Lietuvių,4,5,
MANO JAUSMAI. Kai aplanko margiausios emocijos. 2 dalis,Aurélie Chien Chow Chine,2023,96,13.09,11.78,0,Baltos lankos,"19 x 19 x 1,3 cm, kieti viršeliai",Lietuvių,1,5,
Mano klasikinės muzikos lopšinės,Séverine Cordier,2023,12,10.99,9.89,0,Nieko rimto,"15,5 x 16,9 x 1,5 cm, kieti viršeliai",Lietuvių,0,0,
Mano knygelės. Pirmieji žodžiai,Séverine Cordier,2017,48,0,0,11.99,Alma littera,"19,5 x 19,5 x 2,5 cm, kieti viršeliai",Lietuvių,2,4,
Mano kojos buvo trys,Selemonas Paltanavičius,2024,32,10.29,7.20,0,Debesų ganyklos,"23,1 x 28,1 x 0,7 cm, kieti viršeliai",Lietuvių,0,0,
Mano laikrodukas,Selemonas Paltanavičius,2010,12,0,0,0,Trys nykštukai,"16 x 22 cm, kieti viršeliai",Lietuvių,0,0,
Mano linksmasis knibždėlynas,Anne Suess,2019,16,0,0,12.00,Vaiga,"26 x 33,5 x 1,5 cm, kieti viršeliai",Lietuvių,2,5,
Mano lopšinės,Anne Suess,2023,8,16.29,11.40,0,Alma littera,"23 x 23 x 1,6 cm, kieti viršeliai",Lietuvių,1,5,
Mano lopšinės,Anne Suess,2021,8,0,0,24.99,Alma littera,"23 x 23 x 1,5 cm, kieti viršeliai",Lietuvių,23,5,
Mano mašinėlės. Dėlionių knyga,Anne Suess,2016,12,0,0,0,Vaiga,"23 x 23 cm, kieti viršeliai",Lietuvių,1,5,
Mano mašinėlės,Anne Suess,2018,12,0,0,0,Vaiga,"14,5 x 14,5 x 2,3 cm, kieti viršeliai",Lietuvių,3,4,
Mano meškiai ir aš. Skaitymas skiemenimis,Margarita Del Mazo,2021,32,0,0,0,Nieko rimto,"21,4 x 30,3 x 0,7 cm, kieti viršeliai",Lietuvių,0,4,
"Mano mokytojas šviesoforas: tikroviški mašinų garsai, kelio ženklai, melodijos, saugaus eismo taisyklės",Margarita Del Mazo,2019,10,0,0,0,Presvika,"23 x 22,5 x 1 cm, kieti viršeliai",Lietuvių,2,5,
Mano mylimiausi gyvūnėliai: su 5 atvartais,Margarita Del Mazo,2022,10,9.59,5.27,0,Vaiga,"19 x 19 x 2 cm, kieti viršeliai",Lietuvių,0,0,
Mano mylimiausi gyvūnėliai,Margarita Del Mazo,2019,8,0,0,0,O-press sp.z o.o,"14 x 14 x 0,7 cm, kieti viršeliai",Lietuvių,2,3,
Mano mylimiausia saldaus miego knyga,Margarita Del Mazo,2013,38,0,0,0,Vaiga,"17 x 21,5 cm, kieti viršeliai",Lietuvių,0,0,
Mano mylimiausia spalvotų sapnų knyga,Margarita Del Mazo,2013,38,0,0,5.39,Vaiga,"17 x 21,5 cm, kieti viršeliai",Lietuvių,1,5,
Mano pabaisiukai. Mažyliams su liečiamais silikono paviršiais,Margarita Del Mazo,2019,10,8.92,6.69,0,Presvika,"17,5 x 17,5 x 2 cm, kieti viršeliai",Lietuvių,1,3,
Mano pasakų lobynas,Margarita Del Mazo,2021,336,19.59,15.67,0,Vaiga,"28,6 x 22,3 x 2,8 cm, kieti viršeliai",Lietuvių,7,2,
Mano paveikslėlių knyga. Kaime,Anne Suess,2013,8,0,0,14.19,Ramduva,"25,5 x 35,5 cm, kieti viršeliai",Lietuvių,1,5,
"Mano paveikslėlių knyga. Oru, žeme ir vandeniu",Anne Suess,2013,24,0,0,12.99,Ramduva,"24,5 x 30 cm, kieti viršeliai",Lietuvių,2,5,
Mano pelytė,Anne Suess,2019,12,0,0,24.99,Vaiga,"13,5 x 18,5 x 3 cm, kieti viršeliai",Lietuvių,1,5,
Mano pianinas. Groju ir dainuoju,Anne Suess,2021,8,0,0,24.99,Alma littera,"22,8 x 24,8 x 2 cm, kieti viršeliai",Lietuvių,12,4,
Mano pirma patogi Biblija,Cecilie Olesen,2013,61,0,0,0,Lietuvos Biblijos Draugija,"13 x 15 cm, minkšti viršeliai",Lietuvių,0,0,
Mano pirmasis ekskavatorius,Marian Billet,2013,8,0,0,0,Baltos lankos,"22 x 17 cm, kieti viršeliai",Lietuvių,2,5,
Mano pirmasis gyvūnų atlasas,Cristina Banfì,2022,20,12.29,11.06,0,Briedis,"27 x 36 x 1,2 cm, kieti viršeliai",Lietuvių,0,0,
Mano pirmasis įgarsintas žodynas. 60 garsų,Cristina Banfì,2016,10,0,0,0,Presvika,"30 x 30 x 2 cm, kieti viršeliai",Lietuvių,2,5,
Mano pirmasis traktorius,Marian Billet,2013,8,0,0,0,Baltos lankos,"22 x 17 cm, kieti viršeliai",Lietuvių,4,4,
"Mano pirmieji 1 2 3: liečiu, jaučiu, mokausi ir žaidžiu",Marian Billet,2022,10,0,0,0,Vaiga,"15,5 x 18,5 x 2,5 cm, kieti viršeliai",Lietuvių,1,1,
Mano pirmieji 1000 žodžių. Sužinok ir išmok,Marian Billet,2024,140,15.99,12.05,0,Debesų ganyklos,"22,2 x 28,5 x 1,9 cm, kieti viršeliai",Lietuvių,0,0,
