Pavadinimas,Autorius,Metai,Puslapiai,Kaina,Akcijinė kaina,Perskaitytos kaina,Leidėjas,Formatas,Kalba,Įvertinimų skaičius,Žvaigždučių skaičius,Aprašymas
Aš galiu! Kaip pasitikėti savimi ir įveikti kasdienes problemas,Niels van Hove,2020,32,0,0,17.79,Alma littera,"22 x 22 x 0,8 cm, kieti viršeliai",Lietuvių,8,4,
Aš ir mano kūnas. Mano didžioji pažinimo knyga,Beatrice Costamagna,2024,18,17.79,16.01,0,Skaitau nuo gimimo,"25,5 x 25,5 x 2,3 cm, kieti viršeliai",Lietuvių,0,0,
Aš ir pasaulis. Gyvūnai,Beatrice Costamagna,2012,24,0,0,0,Presvika,"18 x 15 cm, kieti viršeliai",Lietuvių,0,0,
Aš ir pasaulis. Ūkis,Beatrice Costamagna,2012,24,0,0,0,Presvika,"18 x 15 cm, kieti viršeliai",Lietuvių,0,0,
Aš ir tu – visada kartu,Beatrice Costamagna,2021,24,0,0,9.99,Vaiga,"25,5 x 25,5 x 0,3 cm, minkšti viršeliai",Lietuvių,1,5,
Aš mokausi! Mano biblioteka,Beatrice Costamagna,2006,24,0,0,0,Alma littera,"25,5 x 25,5 x 0,3 cm, minkšti viršeliai",Lietuvių,0,0,
Aš nemoku skraidyti!,Brenda Apsley,2013,10,0,0,0,Alma littera,"19,5 x 19,5 cm, kieti viršeliai",Lietuvių,0,0,
Aš nenoriu būti princesė,Grzegorz Kasdepke,2017,32,0,0,18.99,700 eilučių,"24 x 32 x 0,9 cm, kieti viršeliai",Lietuvių,2,5,
Aš noriu būti šokėja,Roberta Spagnolo,2022,10,7.99,4.00,0,Briedis,"16 x 22 x 1,5 cm, kieti viršeliai",Lietuvių,1,5,
Aš noriu būti ugniagesiu,Roberta Spagnolo,2022,10,7.99,4.00,0,Briedis,"16 x 22 x 1 cm, kieti viršeliai",Lietuvių,0,0,
Aš širdyje labai myliu mamą ir tėtį. Džimbos dainelės vaikams,Roberta Spagnolo,2024,8,19.59,12.70,0,Alma littera,"23 x 23 x 1,7 cm, kieti viršeliai",Lietuvių,1,5,
Aš tau mielai padėsiu! Smagi knygelė su magnetukais,Roberta Spagnolo,2021,8,0,0,10.46,Vaiga,"20,5 x 25,5 x 1 cm, kieti viršeliai",Lietuvių,0,0,
Aš tave myliu. 5 minučių pasakos,Sienna Williams,2023,48,5.39,4.04,0,Vaiga,"19,5 x 23 x 0,9 cm, kieti viršeliai",Lietuvių,0,0,
Asiliukas su violončele,Mili Joni,2024,66,14.19,12.77,0,3 norai,"17 x 24 x 1 cm, kieti viršeliai",Lietuvių,0,0,
Smagios pasakaitės. Asiliukas Žibulis,Mili Joni,2023,24,3.09,2.78,0,Aktėja,"14 x 20 x 1 cm, kieti viršeliai",Lietuvių,0,0,
"Augu su Niku. Ate ate, čiulptuk",Altea Villa,2024,10,10.69,9.62,0,Nieko rimto,"16 x 16 x 1,5 cm, kieti viršeliai",Lietuvių,0,0,
"Augu su Niku. Ate ate, sauskelnės",Altea Villa,2024,10,10.69,9.62,0,Nieko rimto,"16 x 16 x 1,5 cm, kieti viršeliai",Lietuvių,0,0,
Atgyjantys gyvūnai. Iššokančių paveikslėlių knyga,Anna Milbourne,2021,10,11.99,10.79,11.99,Baltos lankos,"18,6 x 18,6 x 2 cm, kieti viršeliai",Lietuvių,2,5,
Atlasas. Atverk langelius,Anna Milbourne,2024,14,15.39,11.54,0,Vaiga,"22,3 x 28,5 x 1,4 cm, kieti viršeliai",Lietuvių,0,0,
Atrask gyvūnus mokykis žodžius,Anna Milbourne,2013,20,0,0,0,Nieko rimto,"17,5 x 20,5 cm, kieti viršeliai",Lietuvių,2,5,
Atrask žuvų pasaulį,Britta Teckentrup,2020,24,0,0,36.99,Nieko rimto,"24,2 x 30,7 x 1 cm, kieti viršeliai",Lietuvių,0,4,
Atsargiai! Monstriukas knygoje,Tom Fletcher,2017,32,0,0,12.99,Alma littera,"25,5 x 25,5 x 1 cm, kieti viršeliai",Lietuvių,11,4,
"Atsiprašau. Žodis, kuris labai daug gali",Tom Fletcher,2018,8,0,0,0,Vaiga,"20,5 x 20,5 x 1 cm, kieti viršeliai",Lietuvių,3,5,
Atsiskyrėlis Antanėlis,Kazys Binkis,2010,23,0,0,4.59,Alma littera,"20,3 x 29,1 x 0,8 cm, kieti viršeliai",Lietuvių,0,0,
Atspėk... Kas čia važiuoja?,Jana Sedlačkova,2024,12,9.69,7.75,0,Vaiga,"16,7 x 16,5 x 1,2 cm, kieti viršeliai",Lietuvių,1,5,
Atspėk… Kas vežioja žmones ir daiktus?,Jana Sedlačkova,2024,12,9.69,7.75,0,Vaiga,"16,7 x 16,5 x 1,1 cm, kieti viršeliai",Lietuvių,0,0,
Atverk ir pažink. Automobiliai,Jana Sedlačkova,2013,14,0,0,0,Alma littera,"20 x 22,2 cm, kieti viršeliai",Lietuvių,0,0,
Atverk ir pažink. Dinozaurų pasaulis,Alex Frith,2006,16,0,0,0,Alma littera,"22 x 28 cm, kieti viršeliai",Lietuvių,0,0,
Atverk ir pažink. Mano pasaulis,Usborne,2011,14,0,0,5.79,Alma littera,"23,5 x 26,5 cm, kieti viršeliai",Lietuvių,0,0,
Atverk ir pažink. Skaičių pasaulis (Knyga su langais),Minna Lacey,2012,16,0,0,0,Alma littera,"22,5 x 28 cm, kieti viršeliai",Lietuvių,0,0,
Atverk ir pažink. Ūkis,Katie Daynes,2013,14,0,0,0,Alma littera,"20 x 22,5 cm, kieti viršeliai",Lietuvių,3,5,
Atverk langelius. Skaičių knyga,Katie Daynes,2012,16,0,0,0,Alma littera,"22 x 26,5 cm, kieti viršeliai",Lietuvių,2,4,
Atverk langelius. Žodžių knyga,Felicity Brooks,2012,16,0,0,0,Alma littera,"22 x 26 cm, kieti viršeliai",Lietuvių,1,5,
Atversk paveikslėlius. Pirmieji 100 gyvūnų,Felicity Brooks,2018,14,0,0,0,Baltos lankos,"27,7 x 27,7 x 0,7 cm, kieti viršeliai",Lietuvių,4,5,
Atvirkščia pasakaitė,Mikė Lilikė,2013,24,0,0,15.39,Obuoliukas,"19,5 x 19,5 cm, minkšti viršeliai",Lietuvių,5,5,
Atvirkštukai,Marius Marcinkevičius,2018,36,0,0,2.19,Tikra knyga,"27 x 26 x 0,7 cm, kieti viršeliai",Lietuvių,8,3,
Au! Paspausk mygtuką ir išgirsi mane,Marius Marcinkevičius,2018,8,0,0,0,Vaiga,"18 x 18 x 1,5 cm, kieti viršeliai",Lietuvių,1,5,
Augintiniai: aš mažas,Marius Marcinkevičius,2019,12,0,0,0,Vaiga,"9 x 9 x 1,7 cm, kieti viršeliai",Lietuvių,0,0,
Augintiniai: maži ir mieli,Marius Marcinkevičius,2021,10,4.86,2.92,0,Presvika,"19 x 21 x 1 cm, kieti viršeliai",Lietuvių,0,0,
Auksadančiai ir Kopūstiniai. Nuotykiai iškyloje,Karen Hunt,2011,38,0,0,0,Crossmedija,"25,5 x 21 cm, kieti viršeliai",Lietuvių,1,5,
Auksadančiai ir Kopūstiniai,Karen Hunt,2011,38,0,0,0,Crossmedija,"25,5 x 21 cm, kieti viršeliai",Lietuvių,0,0,
