Pavadinimas,Autorius,Žanras,Metai,Puslapiai,Kaina,Akcijinė kaina,Perskaitytos kaina,Leidėjas,Formatas,Kalba,Įvertinimų skaičius,Žvaigždučių skaičius
"Patikimas žaidimas. Viskas, išskyrus raudonas rožes",Penė Džordan,Meilės romanai,1998,296,0,0,2.19,Mažoji Rosma,"14 x 20 cm, kieti viršeliai",Lietuvių,0,0
Patikrink mano vyrą,Gabrielė Kazlauskaitė,Meilės romanai,2024,266,9.59,8.63,9.59,A. Kavaliauskaitė,"14 x 20 x 1,9 cm, minkšti viršeliai",Lietuvių,16,3
Patogi santuoka,Kat Cantrell (Ketė Kentrel),Meilės romanai,2018,186,1.79,1.79,1.79,Svajonių knygos,"ePub, MOBI",Lietuvių,0,4
Patogus melas,Randy Susan Meyers,Užsienio autorių romanai,2013,328,0,0,2.00,Alma littera,"15 x 24 cm, kieti viršeliai",Lietuvių,2,4
Patrakėlis,James Patrick Donleavy,Užsienio autorių romanai,2008,356,0,0,7.00,Lietuvos rašytojų sąjungos leidykla,"14,5 x 21,5 cm, kieti viršeliai",Lietuvių,1,1
Patriarchas,Micaela von Marcard,Užsienio autorių romanai,2009,432,0,0,9.99,Gimtasis žodis,"16 x 24 cm, kieti viršeliai",Lietuvių,2,5
Patriarcho ruduo (2006),Gabriel Garcia Marquez,Klasika,2006,270,0,0,6.99,Alma littera,"15 x 24 cm, kieti viršeliai",Lietuvių,0,4
Patriarcho ruduo,Gabriel Garcia Marquez,Klasika,1980,278,0,0,2.00,Vaga,"12 x 17 cm, kieti viršeliai",Lietuvių,0,0
Patriarcho ruduo,Gabriel Garcí­a Márquez,Klasika,2017,280,0,0,17.79,Alma littera,"14,3 x 23,5 x 2,8 cm, kieti viršeliai",Lietuvių,3,4
Rinkinys: Patricijos Tilvikaitės romanas „Svetimkūniai“ + užrašinė „Mano svetimkūniai“,Patricija Tilvikaitė,Lietuvių autorių romanai,2024,280,24.99,17.99,0,BALTO leidybos namai,"15,3 x 21,9 x 2,7 cm, kieti viršeliai",Lietuvių,0,0
PATRIKAS MELROUZAS (knyga su defektais),Edward St Aubyn,Užsienio autorių romanai,2019,448,13.99,4.20,13.99,Baltos lankos,"14,5 x 21 x 3,6 cm, kieti viršeliai",Lietuvių,5,4
Patvarumo riba,Raidas Dubrė,"Detektyvai, trileriai",1999,227,0,0,3.19,Baltos lankos,"11 x 17 cm, minkšti viršeliai",Lietuvių,0,3
Paukščiai besparniai (1959),Vilis Lacis,Užsienio autorių romanai,1959,774,0,0,4.20,Valstybinė grožinės literatūros leidykla,"14 x 20,5 x 5 cm, kieti viršeliai",Lietuvių,1,4
Paukščiai,Tarjei Vesaas,Užsienio autorių romanai,1998,230,0,0,0,Vaga,"13 x 20 cm, minkšti viršeliai",Lietuvių,0,0
Paukščiai čia nečiulbės,Aleksandra Jusytė,Lietuvių autorių romanai,2005,152,0,0,2.00,Mūsų knyga,"14,3 x 21 x 1 cm, minkšti viršeliai",Lietuvių,1,2
PAUKŠČIAI GIESMININKAI. Išskirtinė knygos.lt kolekcija 77/100,Christy Lefteri,Užsienio autorių romanai,2024,304,5.00,5.00,0,knygos.lt,"13,7 x 20,8 cm, minkšti viršeliai",Lietuvių,0,0
"PAUKŠČIAI GIESMININKAI. Tikrų įvykių įkvėpta ir tarptautiniu bestseleriu tapusi istorija apie tai, kaip geresnio gyvenimo paieškos nuveda į spąstus. Nauja romano „Bitininkas iš Alepo“ autorės knyga!",Christy Lefteri,Užsienio autorių romanai,2022,304,20.99,8.40,20.99,BALTO leidybos namai,"14,3 x 21,3 x 2,9 cm, kieti viršeliai",Lietuvių,13,4
Paukščiai skrenda mirti į Peru,Romain Gary,"Poezija, drama, esė",2016,216,0,0,0,Vaga,"14,3 x 21,3 x 2,9 cm, kieti viršeliai",Lietuvių,2,5
Paukščiai vėtroje,Bronė Buivydaitė,"Poezija, drama, esė",2018,80,8.09,7.28,0,Komunikacijos centras „Kalba. Knyga. Kūryba“,"14 x 20 x 0,5 cm, minkšti viršeliai",Lietuvių,0,4
Paukščiai viršum vaivorykštės,Joana Danutė Žilaitytė,Lietuvių autorių romanai,2010,256,7.98,7.18,0,Žara,"15 x 21,5 cm, kieti viršeliai",Lietuvių,0,0
Paukščiai,Dafnė diu Morjė,Užsienio autorių romanai,1992,173,0,0,2.64,Vaga,"14 x 21 cm, minkšti viršeliai",Lietuvių,0,0
Paukščio šokis,Ingvar Ambjornsen,Užsienio autorių romanai,2005,239,0,0,6.99,Alma littera,"13 x 20 cm, kieti viršeliai",Lietuvių,0,4
Paukščių čiulbėjimas,Sebastian Faulks,Meilės romanai,2020,544,0,0,12.99,Jotema,"15 x 22 x 4,4 cm, kieti viršeliai",Lietuvių,8,3
Paukščių miegas,Tomas Vaiseta,"Poezija, drama, esė",2014,128,0,0,16.59,Lietuvos rašytojų sąjungos leidykla,"13 x 20 cm, minkšti viršeliai",Lietuvių,1,5
Paukščių tribunolas,Agnes Ravatn,"Detektyvai, trileriai",2017,224,0,0,8.19,Svajonių knygos,"14 x 21 x 2 cm, kieti viršeliai",Lietuvių,6,4
Paukšteliai: erotika,Anais Nin,Užsienio autorių romanai,1996,160,0,0,0,Charibdė,"12 x 17 cm, minkšti viršeliai",Lietuvių,0,0
Paukšteliai: erotika,Anais Nin,Meilės romanai,1996,160,2.59,2.33,2.59,Charibdė,"12 x 17 cm, minkšti viršeliai",Lietuvių,5,2
Paukšteliai laksto pažemiais,Algimantas Mikuta,"Poezija, drama, esė",2023,136,7.59,6.83,0,Kauko laiptai,"14 x 21 x 1,3 cm, minkšti viršeliai",Lietuvių,0,0
Paukštis: poezija–vaizdas–muzika (su CD),Paulius Kuliešius,"Poezija, drama, esė",2012,120,6.32,5.69,0,Naujasis lankas,"13,5 x 20,5 x 1 cm, minkšti viršeliai",Lietuvių,1,5
Paukštis be gūžtos,Ilačandras Džošis,Užsienio autorių romanai,1984,365,0,0,2.00,Vaga,"13 x 20,5 cm, kieti viršeliai",Lietuvių,0,0
Paukštukas,William Wharton,Užsienio autorių romanai,2021,320,13.25,4.59,13.25,Sofoklis,"14 x 21 x 2,5 cm, kieti viršeliai",Lietuvių,2,5
"Paukštukas, skelbiantis žemės drebėjimą",Susanna Jones,Užsienio autorių romanai,2007,208,0,0,3.39,Svajonių knygos,"12 x 19 cm, minkšti viršeliai",Lietuvių,0,3
Paukštukas,William Wharton,Užsienio autorių romanai,2004,271,0,0,4.59,Presvika,"15 x 20,5 cm, kieti viršeliai",Lietuvių,1,5
Paukštuko liudijimai,Aivaras Veiknys,"Poezija, drama, esė",2014,128,0,0,0,Lietuvos rašytojų sąjungos leidykla,"14,5 x 22,5 cm, minkšti viršeliai",Lietuvių,0,0
Paula,Isabel Allende,Užsienio autorių romanai,2009,432,0,0,6.99,Alma littera,"15 x 24 cm, kieti viršeliai",Lietuvių,0,4
Paulina (2008),Celestina Marija Blanš,Meilės romanai,2008,317,0,0,4.59,Norekso valdos,"12,5 x 18,5 cm, minkšti viršeliai",Lietuvių,0,0
Paulina,Celesta M. Blanš,Meilės romanai,1995,251,0,0,2.00,Vaiga,"13 x 20 cm, kieti viršeliai",Lietuvių,0,0
Paulinos kelionė,Zita Čepaitė,Meilės romanai,1996,229,0,0,4.29,Lietuvos rašytojų sąjungos leidykla,"13,2 x 20,5 x 1,6 cm, kieti viršeliai",Lietuvių,1,5
Paulius ir Virginija,Žakas Anri Bernardenas de Sen Pjeras,Užsienio autorių romanai,1997,175,0,0,0,Vyturys,"12 x 17 x 1 cm, kieti viršeliai",Lietuvių,0,0
Iš meilės lyrikos lobyno,Paulius Širvys,"Poezija, drama, esė",2020,144,0,0,0,Žuvėdra,"10 x 15 x 1,1 cm, minkšti viršeliai",Lietuvių,0,4
Pavadinimas. Juozas Erlickas („Lietuvos ryto“ kolekcija),Juozas Erlickas,Lietuvių autorių romanai,2007,544,0,0,9.39,Lietuvos rytas,"12,2 x 21 cm, kieti viršeliai",Lietuvių,0,4
Pavadink ir nuspalvink!,Eglė Novogrodskienė,"Poezija, drama, esė",2014,32,1.69,1.52,0,Eglės leidykla,"21 x 30 x 0,3 cm, minkšti viršeliai",Lietuvių,0,0
Pavadinsime ją Skarlet,Dž. Hilpatrik,Užsienio autorių romanai,1994,460,0,0,2.00,Tyrai,"13 x 20,5 cm, kieti viršeliai",Lietuvių,0,4
"Pavasari, nusijuok!",Joss Wood,Meilės romanai,2016,320,0,0,0,Svajonių knygos,"10,7 x 18 cm, minkšti viršeliai",Lietuvių,0,2
Pavasarį paukščiai sugrįžta,Ernestas Kuckailis,Istorija,2015,288,6.89,6.20,6.89,Vox Altera,"15,5 x 23,5 cm, minkšti viršeliai",Lietuvių,7,4
Pavasario akvarelės,Judita Vaičiūnaitė,"Poezija, drama, esė",1960,52,0,0,3.00,Valstybinė grožinės literatūros leidykla,"11,5 x 17 x 0,3 cm, minkšti viršeliai",Lietuvių,0,0
Pavasario balsai,Maironis,"Poezija, drama, esė",2024,240,6.89,6.20,0,Margi raštai,"12,5 x 20 x 1,9 cm, minkšti viršeliai",Lietuvių,0,0
Pavasario balsai,Maironis,"Poezija, drama, esė",1986,197,0,0,4.59,Vaga,"12,5 x 20 cm, kieti viršeliai",Lietuvių,1,5
Pavasario balsai,Maironis,"Poezija, drama, esė",2020,344,18.39,16.55,0,Maironio lietuvių literatūros muziejus,"12 x 16,5 x 3 cm, kieti viršeliai",Lietuvių,0,3
Pavasario dienų,Jolanta Strikaitienė,"Poezija, drama, esė",2022,269,16.19,14.57,0,Ridsales,"15 x 21 x 1,5 cm, minkšti viršeliai",Lietuvių,0,0
Pavasario duetas: „Išloštoji baronienė“ „Sofija“,Jane Porter,Meilės romanai,2008,368,0,0,4.59,Svajonių knygos,"10,5 x 16,5 cm, minkšti viršeliai",Lietuvių,0,0
Pavasario duetas: „Kerštas ar... meilė?“ „Lemtingas pasiūlymas“,Trish Morey,Meilės romanai,2009,368,0,0,2.00,Svajonių knygos,"10,5 x 16,5 cm, minkšti viršeliai",Lietuvių,0,5
Pavasario duetas: „Mano mielas nenaudėlis“ „Vieniša žmona“,Diana Palmer,Meilės romanai,2010,364,0,0,2.10,Svajonių knygos,"10,5 x 16,5 cm, minkšti viršeliai",Lietuvių,0,3
Pavasario kiemas,Tomoka Shibasaki,Užsienio autorių romanai,2021,140,9.75,6.34,9.75,Lietuvos rašytojų sąjungos leidykla,"14,5 x 21,7 x 1,6 cm, kieti viršeliai",Lietuvių,1,2
Pavasario pranašas,Kazys Plačenis,Lietuvių autorių romanai,1978,308,0,0,2.10,Vaga,"13 x 20,5 x 1,5 cm, kieti viršeliai",Lietuvių,0,0
Pavasario skandalai. Nenuoramos aristokratės. 4 knyga,Lisa Kleypas,Meilės romanai,2015,352,0,0,20.99,Svajonių knygos,"14,5 x 21 x 3,9 cm, kieti viršeliai",Lietuvių,6,5
PAVASARIO SNIEGAS. Japonų literatūros klasika,Yukio Mishima,Užsienio autorių romanai,2024,432,19.99,17.16,19.99,Baltos lankos,"15,2 x 21,5 x 3,2 cm, kieti viršeliai",Lietuvių,2,5
Pavasario upė,Antanas Venclova,Lietuvių autorių romanai,1980,399,0,0,2.19,Vaga,"13 x 20,5 x 2,5 cm, kieti viršeliai",Lietuvių,0,0
Pavasario žaidimai,Nora Roberts,Meilės romanai,2014,320,0,0,14.99,Svajonių knygos,"11 x 18 cm, minkšti viršeliai",Lietuvių,0,3
Pavasaris,O. Lutsas,Knygos paaugliams,1957,426,0,0,0,Valstybinė grožinės literatūros leidykla,"13,5 x 20 cm, kieti viršeliai",Lietuvių,1,5
Pavasaris bus kaip visuomet. Šiuolaikinės latvių poezijos antologija,O. Lutsas,"Poezija, drama, esė",2012,210,0,0,0,Lietuvos rašytojų sąjungos leidykla,"16,5 x 22 cm, kieti viršeliai",Lietuvių,0,0
Pavasaris Kaune,Henry Parland,"Poezija, drama, esė",2004,142,0,0,0,Lietuvos rašytojų sąjungos leidykla,"11,5 x 20 cm, kieti viršeliai",Lietuvių,0,3
Pavasaris knygų lentynoje: istorijos įvairaus amžiaus žmonėms,Saulė Zujūtė,Lietuvių autorių romanai,2017,264,0,0,3.39,Mijalba,"13 x 18,5 x 2 cm, kieti viršeliai",Lietuvių,3,5
Pavasaris per kalnus eina,Salomėja Nėris,"Poezija, drama, esė",1961,512,0,0,9.39,Valstybinė grožinės literatūros leidykla,"12 x 17 cm, kieti viršeliai",Lietuvių,0,0
Pavasaris žiemos vidury,Tomas Stearsas Eliotas,"Poezija, drama, esė",1991,158,0,0,6.99,Vaga,"13 x 20 x 1 cm, kieti viršeliai",Lietuvių,0,4
Pavasaris,Gintaras Katinas,Lietuvių autorių romanai,2012,208,0,0,2.19,Magilė,"13 x 21 cm, minkšti viršeliai",Lietuvių,16,4
Paveikslas,Zita Čepaitė,Meilės romanai,2015,336,0,0,8.69,Alma littera,"14,3 x 23,5 x 3,1 cm, kieti viršeliai",Lietuvių,0,4
Paveikslo restauravimas,Vytautas Petras Bložė,"Poezija, drama, esė",2017,250,10.69,9.62,0,Lietuvių literatūros ir tautosakos institutas,"15 x 15 x 2 cm, minkšti viršeliai",Lietuvių,1,5
Pavėlavęs jaunimas,Kendzaburas Ojė,Užsienio autorių romanai,1975,305,0,0,4.50,Vaga,"13 x 20,5 cm, kieti viršeliai",Lietuvių,0,0
Pavėlavusios meilės laiškai. Praeitą vasarą Juodkrantėje,Vilhelmina Bruni,Meilės romanai,2002,221,0,0,6.39,Alma littera,"13 x 20 cm, kieti viršeliai",Lietuvių,0,0
Paveldėjimas. Ciklo „Paveldėjimas“ 4-oji knyga,Christopher Paolini,Fantastika,2012,792,0,0,6.50,Alma littera,"17 x 24 cm, kieti viršeliai",Lietuvių,3,3
Daringamo dvaras. Paveldėjimas,Kathryn Taylor,Meilės romanai,2016,264,0,0,6.99,Alma littera,"14,3 x 23,5 x 2,4 cm, kieti viršeliai",Lietuvių,8,3
Paveldėta gėda. Sicilijos Korečiai. 4 knyga,Kate Hewitt,Meilės romanai,2014,320,0,0,6.99,Svajonių knygos,"11 x 18 cm, minkšti viršeliai",Lietuvių,1,5
Paveldėta kilmė,Maureen Child,Meilės romanai,2011,192,0,0,2.00,Svajonių knygos,"10,5 x 16,5 cm, minkšti viršeliai",Lietuvių,0,4
Paveldėti su sąlyga,Lynne Graham,Meilės romanai,2011,188,0,0,2.19,UAB Svajonių knygos,"10,5 x 16,5 cm, minkšti viršeliai",Lietuvių,0,4
Paveldėtoja. Prarastosios nuotakos. 1 knyga,Nora Roberts,Užsienio autorių romanai,2024,480,17.79,13.34,17.79,Jotema,"15 x 21,9 x 3,6 cm, kieti viršeliai",Lietuvių,16,4
Paveldėtoja,Džudi Devero,Meilės romanai,1997,302,0,0,0,Tyrai,"13 x 20 cm, kieti viršeliai",Lietuvių,1,5
Paveldėtojai. „Musių valdovo“ autoriaus knyga,William Golding,Klasika,2024,240,14.39,12.95,14.39,Alma littera,"13,3 x 20,5 x 2,3 cm, kieti viršeliai",Lietuvių,2,4
"PAVELDĖTOJAI: Nobelio premijos laureato, „Musių valdovo“ autoriaus romanas",William Golding,Klasika,2020,240,12.09,2.44,12.09,Alma littera,"12,5 x 19,8 x 2,1 cm, kieti viršeliai",Lietuvių,2,4
Paveldėtos paslaptys,Penny Vincenzi,Meilės romanai,2020,720,21.49,11.82,21.49,Svajonių knygos,"14,5 x 21 x 5,6 cm, kieti viršeliai",Lietuvių,5,4
Pavergtas protas,Czesław Miłosz,Užsienio autorių romanai,2022,272,14.99,11.99,0,Lietuvos rašytojų sąjungos leidykla,"14,5 x 21,7 x 2,8 cm, kieti viršeliai",Lietuvių,0,0
Pavergtas protas (detektyvė Kima Stoun),Angela Marsons,"Detektyvai, trileriai",2022,336,14.33,6.09,14.33,Jotema,"15 x 22 x 2,9 cm, kieti viršeliai",Lietuvių,6,5
Pavergtas protas (1995),Czeslaw Milosz,"Poezija, drama, esė",2022,300,0,0,0,Lietuvos rašytojų sąjungos leidykla,"13 x 20,8 x 2 cm, kieti viršeliai",Lietuvių,0,0
Paviršius,Olivier Norek,"Detektyvai, trileriai",2021,352,9.79,9.79,9.79,Baltos lankos,"14,5 x 21 x 3 cm, kieti viršeliai",Lietuvių,10,5
Pavogta akimirka,Kathie Denosky,Meilės romanai,2008,189,0,0,0,Svajonių knygos,"10,5 x 16,5 cm, minkšti viršeliai",Lietuvių,0,4
Pavogta nuotaka,Barbara Dunlop (Barbara Danlop),Meilės romanai,2017,186,0,0,3.63,Svajonių knygos,"10 x 16,7 x 1 cm, minkšti viršeliai",Lietuvių,0,4
Pavogtas bučinys,Virginia Heath,Meilės romanai,2020,320,0,0,12.39,Svajonių knygos,"13 x 20,5 x 2,7 cm, kieti viršeliai",Lietuvių,2,5
Pavogtas lietus,Alicia Gutje,Meilės romanai,2019,288,8.79,8.79,8.79,Alma littera,"14,3 x 23,5 x 2,6 cm, kieti viršeliai",Lietuvių,15,3
Pavogtas romanas,Mikhail Anikin,Užsienio autorių romanai,2006,208,0,0,6.03,Obuolys,"14 x 22 cm, kieti viršeliai",Lietuvių,1,1
Pavogtas sapnas,Aleksandra Marinina,"Detektyvai, trileriai",2000,304,0,0,12.87,Tyrai,"14,5 x 22 cm, kieti viršeliai",Lietuvių,0,0
Pavogtas sapnas,Aleksandra Marinina,"Detektyvai, trileriai",2008,336,0,0,11.30,Jotema,"14,5 x 22 cm, kieti viršeliai",Lietuvių,0,4
Pavogtas sapnas,Aleksandra Marinina,"Detektyvai, trileriai",2011,448,0,0,2.19,Jotema,"11 x 17,8 cm, minkšti viršeliai",Lietuvių,2,3
Pavogtos (Detektyvė Kima Stoun),Angela Marsons,"Detektyvai, trileriai",2023,336,15.59,12.47,15.59,Jotema,"15 x 22 x 3 cm, kieti viršeliai",Lietuvių,3,4
Pavogtos valandos,Karen Swan,Užsienio autorių romanai,2024,440,18.29,14.65,18.29,Tyto alba,"15,5 x 22 x 3,8 cm, kieti viršeliai",Lietuvių,10,4
Pavojinga aistra,Sandra Marton,Meilės romanai,2010,186,0,0,2.19,UAB Svajonių knygos,"10,5 x 16,5 cm, minkšti viršeliai",Lietuvių,0,4
Pavojinga kulinarija (knyga su defektais),Andreas Staïkos,Meilės romanai,2011,104,5.59,5.03,0,Mintis,"13 x 21 x 1,2 cm, kieti viršeliai",Lietuvių,0,3
Pavojinga meilė (1999),Ben Okri,Užsienio autorių romanai,1999,351,0,0,2.50,Alma littera,"14,5 x 24 x 2 cm, kieti viršeliai",Lietuvių,0,4
Pavojinga meilė. Antra „Bado žaidynių“ knyga,Suzanne Collins,Fantastika,2010,352,0,0,4.00,Alma littera,"15 x 22 cm, kieti viršeliai",Lietuvių,18,4
Pavojinga moteris,Thommie Bayer,Užsienio autorių romanai,2007,190,0,0,11.79,Mūsų knyga,"13 x 22 cm, kieti viršeliai",Lietuvių,0,0
Pavojinga perkėla,Iljasas Jesenberlinas,Užsienio autorių romanai,1987,264,0,0,6.99,Vaga,"11 x 17 cm, minkšti viršeliai",Lietuvių,0,0
Pavojinga teritorija,Sandra Brown,Meilės romanai,2020,348,0,0,3.39,Svajonių knygos,"11,5 x 18,5 x 1,8 cm, minkšti viršeliai",Lietuvių,6,4
Pavojinga tiesa,Mary Higgins Clark,"Detektyvai, trileriai",2015,312,0,0,6.97,Alma littera,"14,3 x 23,5 x 2,8 cm, kieti viršeliai",Lietuvių,5,4
Pavojingas gyvenimas 2008,Leonas Kiauleikis,Lietuvių autorių romanai,2008,272,0,0,3.19,Leonas Kiauleikis,"14,5 x 21,6 cm, kieti viršeliai",Lietuvių,0,0
Pavojingas lošimas,Jennifer Lewis (Dženifer Liuis),Užsienio autorių romanai,2016,186,0,0,0,Svajonių knygos,"10,5 x 17 x 1 cm, minkšti viršeliai",Lietuvių,1,5
Pavojingas palikimas. Lemtingas pokštas,Stefanija Hovard,Meilės romanai,1995,280,0,0,2.50,Rosma,"13,5 x 20 cm, kieti viršeliai",Lietuvių,0,0
Pavojingas sandoris. Meilės romanų lobynas,Becky Barker,Meilės romanai,2002,240,0,0,0,Dajalita,"11 x 18 x 1,6 cm, minkšti viršeliai",Lietuvių,0,0
Pavojingas smalsumas,Kat Cantrell (Ketė Kentrel),Meilės romanai,2017,186,0,0,0,Svajonių knygos,"ePub, MOBI",Lietuvių,0,4
Pavojingas vaidmuo,Kendis Kemp,Meilės romanai,1997,320,0,0,2.19,Rosma,"13 x 20,5 cm, kieti viršeliai",Lietuvių,0,4
Pavojingas žaidimas,Barbara Dunlop (Barbara Danlop),Meilės romanai,2020,192,1.79,1.79,1.79,Svajonių knygos,"10,6 x 16,7 x 1,2 cm, minkšti viršeliai",Lietuvių,1,5
Pavojingasis (2014),Amanda Quick,Meilės romanai,2014,410,0,0,16.49,Svajonių knygos,"14,5 x 22 cm, kieti viršeliai",Lietuvių,1,3
Pavojingasis,Amanda Quick,Meilės romanai,2020,412,0,0,16.49,Svajonių knygos,"14,5 x 21 x 3,4 cm, kieti viršeliai",Lietuvių,12,4
Pavojingi keliai,Jonas Dovydaitis,Lietuvių autorių romanai,1956,326,0,0,4.29,Valstybinė grožinės literatūros leidykla,"14 x 20 cm, kieti viršeliai",Lietuvių,0,0
Pavojingi ryšiai (2018),Stefanie London,Meilės romanai,2018,192,1.79,1.79,1.79,Svajonių knygos,"10,6 x 16,7 cm, minkšti viršeliai",Lietuvių,0,4
Pavojingi ryšiai. Aistingasis Leo. 2 už 1 kainą,Stefanie London,Meilės romanai,2018,192,0,0,9.99,Svajonių knygos,"10,6 x 16,7 cm, minkšti viršeliai",Lietuvių,0,4
Pavojingi ryšiai. Svarbiau už deimantą. 2 už 1 kainą,Stefanie London,Meilės romanai,2018,192,0,0,0,Svajonių knygos,"10,6 x 16,7 cm, minkšti viršeliai",Lietuvių,0,4
Pavojingi ryšiai,Coderlos de Laclos,Klasika,2011,544,0,0,8.19,Obuolys,"14,2 x 23,4 cm, kieti viršeliai",Lietuvių,5,4
Pavojingi vaistai,Thomas Hardy,Užsienio autorių romanai,1996,352,0,0,2.10,Tyto alba,"13 x 20,5 cm, minkšti viršeliai",Lietuvių,0,4
Pavojingi žaidimai,Dainius Dirgėla,"Poezija, drama, esė",1995,62,0,0,0,Lietuvos rašytojų sąjungos leidykla,"11 x 17 cm, minkšti viršeliai",Lietuvių,0,4
PAVOJINGI ŽAIDIMAI,Samantha Young,Meilės romanai,2021,368,13.19,9.89,13.19,Baltos lankos,"14,5 x 21 x 3,3 cm, kieti viršeliai",Lietuvių,35,4
Pavojingi žodžiai,Undinė Radzevičiūtė,Lietuvių autorių romanai,2023,180,18.69,14.95,18.69,Lietuvos rašytojų sąjungos leidykla,"14,6 x 21,6 x 1,6 cm, kieti viršeliai",Lietuvių,3,4
Pavojingos moterys. Susitikimas su svajone,Natalie Fox,Meilės romanai,2000,384,0,0,0,Mažoji Rosma,"13 x 20 cm, kieti viršeliai",Lietuvių,0,0
Pavojingos paslaptys II dalis,Nora Roberts,Užsienio autorių romanai,1999,286,0,0,0,Tyrai,"13 x 20,5 cm, kieti viršeliai",Lietuvių,1,5
Pavojingos paslaptys,Nora Roberts,Užsienio autorių romanai,1998,284,0,0,18.99,Tyrai,"13 x 20,5 cm, kieti viršeliai",Lietuvių,1,5
Pavojingos vietos (Lotė Parker),Patricia Gibney,"Detektyvai, trileriai",2023,368,13.29,10.63,13.29,Jotema,"14 x 21 x 2,9 cm, minkšti viršeliai",Lietuvių,5,4
Pavojų ieškotojai,Jonas Dovydaitis,Lietuvių autorių romanai,1973,385,0,0,2.19,Vaga,"13,5 x 20 cm, kieti viršeliai",Lietuvių,0,0
Pavydas (2007),Sandra Brown,"Detektyvai, trileriai",2007,480,0,0,6.99,Alma littera,"14,5 x 24,5 x 4 cm, kieti viršeliai",Lietuvių,1,5
Pavydas,Sandra Brown,"Detektyvai, trileriai",2017,480,0,0,5.79,Alma littera,"12,5 x 19,8 x 2,7 cm, minkšti viršeliai",Lietuvių,7,4
Pavydo ekspertas ir kitos istorijos,Jo Nesbø,"Detektyvai, trileriai",2023,272,15.79,14.21,15.79,Baltos lankos,"14 x 21 x 2,2 cm, kieti viršeliai",Lietuvių,6,3
Pavydo kančios. Laimė visai čia pat,Pamela Roberts,Meilės romanai,2006,280,0,0,3.39,Rosma,"13 x 20 cm, kieti viršeliai",Lietuvių,0,0
Pavyks arba ne,Paula Roe,Meilės romanai,2016,186,0,0,10.99,Svajonių knygos,"16,7 x 10,6 x 1 cm, minkšti viršeliai",Lietuvių,1,5
"Pažadai, pažadai...",Nomi Berger,Užsienio autorių romanai,1998,424,0,0,2.45,Rosma,"13 x 19 cm, kieti viršeliai",Lietuvių,0,0
Pažadai vidurnaktį. Puikiosios Magnolijos. 8 knyga,Sherryl Woods,Meilės romanai,2023,384,12.19,8.53,0,Svajonių knygos,"13 x 20,5 x 2,8 cm, kieti viršeliai",Lietuvių,2,5
Pažadas (1998),Kasey Michaels,Meilės romanai,1998,251,0,0,2.19,Naujoji era,"13 x 20,5 x 2 cm, kieti viršeliai",Lietuvių,0,0
PAŽADAS. Išskirtinė knygos.lt kolekcija 7/100,Teresa Driscoll,"Detektyvai, trileriai",2024,368,5.00,5.00,0,knygos.lt,"13,7 x 20,8 x 2,4 cm, minkšti viršeliai",Lietuvių,0,0
Pažadas,Sorj Chalandon,Užsienio autorių romanai,2008,180,0,0,2.40,Tyto alba,"15 x 22 cm, kieti viršeliai",Lietuvių,0,4
Pažadas,Damon Galgut,Užsienio autorių romanai,2023,288,17.69,12.38,17.69,Baltos lankos,"14,5 x 21 x 2,3 cm, kieti viršeliai",Lietuvių,1,2
PAŽADAS. Trys draugės ir tamsi jų paslaptis. Ar pavyks ją išsaugoti?,Teresa Driscoll,"Detektyvai, trileriai",2020,372,14.19,6.39,14.19,BALTO leidybos namai,"15 x 22 x 2,8 cm",Lietuvių,9,4
"Pažadėk, kad grįši",Tess Gerritsen,Meilės romanai,2017,352,0,0,3.39,Svajonių knygos,"12,5 x 18,5 x 2,2 cm, kieti viršeliai",Lietuvių,6,5
Pažadėk man rytojų. Dingę paveldėtojai. Antra knyga,Candace Camp,Meilės romanai,2024,384,20.99,18.89,0,Svajonių knygos,"15 x 21,7 x 2,9 cm, kieti viršeliai",Lietuvių,0,4
Pažadėk man,Harlan Coben,"Detektyvai, trileriai",2007,376,0,0,3.00,Jotema,"14,5 x 22 cm, kieti viršeliai",Lietuvių,2,5
Pažadėta,Sarah Morgan,Meilės romanai,2015,192,0,0,10.99,Svajonių knygos,"10,5 x 16,5 x 1 cm, minkšti viršeliai",Lietuvių,0,4
Pažadėtoji žemė I tomas,V. Reimontas,Užsienio autorių romanai,1963,408,0,0,2.00,Valstybinė grožinės literatūros leidykla,"13,5 x 20,5 cm, kieti viršeliai",Lietuvių,0,0
Pažadėtoji žemė,Sebastian Barry,Užsienio autorių romanai,2012,208,0,0,12.60,Metodika,"15 x 22 cm, kieti viršeliai",Lietuvių,4,3
Pažadink mane,Ieva Vill,Meilės romanai,2023,224,13.19,9.23,13.19,Alma littera,"14,3 x 21,3 x 2,1 cm, kieti viršeliai",Lietuvių,65,4
Pažadinta aistra,Sophia James,Meilės romanai,2012,316,0,0,2.79,Svajonių knygos,"11 x 18 cm, minkšti viršeliai",Lietuvių,2,4
Pažadinta praeitis,Romualdas Zubinas,Folkloras ir mitologija,2012,192,7.01,6.31,0,Naujasis lankas,"15 x 21,5 cm, kieti viršeliai",Lietuvių,0,0
Pažado žemė,Leonardas Gutauskas,"Poezija, drama, esė",2024,320,19.99,15.99,0,Lietuvos rašytojų sąjungos leidykla,"16,3 x 23,5 x 2,4 cm, kieti viršeliai",Lietuvių,0,0
