Pavadinimas,Autorius,Žanras,Metai,Puslapiai,Kaina,Akcijinė kaina,Perskaitytos kaina,Leidėjas,Formatas,Kalba,Įvertinimų skaičius,Žvaigždučių skaičius
21. Paimti banką,Ben Mezrich,Užsienio autorių romanai,2010,272,0,0,2.19,Jotema,"14 x 21 cm, minkšti viršeliai",Lietuvių,1,5
22-oji išlyga (2002),Joseph Heller,Užsienio autorių romanai,2002,543,0,0,21.99,Tyto alba,"15 x 21,5 cm, kieti viršeliai",Lietuvių,1,4
22-oji išlyga (2015),Joseph Heller,Užsienio autorių romanai,2015,560,0,0,20.99,Sofoklis,"14,5 x 21,5 cm, kieti viršeliai",Lietuvių,3,4
23-ias keleivis,Sebastian Fitzek,"Detektyvai, trileriai",2022,384,14.49,5.80,14.49,Jotema,"15 x 22 x 3,2 cm, kieti viršeliai",Lietuvių,9,4
2666,Roberto Bolano,Užsienio autorių romanai,2020,880,22.59,14.68,22.59,Kitos knygos,"15,5 x 23,5 x 5 cm, kieti viršeliai",Lietuvių,6,5
27 išpažintys,Vytautas Rimkevičius,Lietuvių autorių romanai,1975,284,0,0,5.67,Vaga,"13 x 20 cm, kieti viršeliai",Lietuvių,0,0
27 išpažintys,Vytautas Rimkevičius,Lietuvių autorių romanai,1975,284,0,0,2.00,Vaga,"14 x 21 cm, kieti viršeliai",Lietuvių,0,0
28 vasaros,Elin Hilderbrand,Meilės romanai,2021,496,8.09,3.24,8.09,Tyto alba,"14,7 x 22,1 x 4,1 cm, kieti viršeliai",Lietuvių,10,3
2D ir kiti formatai,Dainius Dirgėla,"Poezija, drama, esė",2020,112,7.29,5.83,0,Lietuvos rašytojų sąjungos leidykla,"14 x 22,5 x 1 cm, minkšti viršeliai",Lietuvių,0,4
3 pjesės,Sigitas Parulskis,"Poezija, drama, esė",2006,173,0,0,0,Baltos lankos,"15 x 21 cm, minkšti viršeliai",Lietuvių,0,0
3 už 2 kainą! Intriguojantys lietuvių autorių meilės romanai: Juodvilkio dvaras (naujiena!) + Netobula + Purpuriniai Veneros labirintai,Sigitas Parulskis,Meilės romanai,2015,173,0,0,0,Obuolys,"12.5 x 18.7 cm, minkšti viršeliai",Lietuvių,0,0
300 eilėraščių Lietuvai ir Europos Sąjungai,Antanas Svetikas,"Poezija, drama, esė",2014,358,6.81,6.13,0,Petro ofsetas,"12,5 x 21 cm, kieti viršeliai",Lietuvių,0,0
31 eilėraštis. 31 wierszy,Czesław Miłosz,"Poezija, drama, esė",2022,280,13.79,12.41,0,Apostrofa,"12,5 x 21 cm, kieti viršeliai",Lietuvių,0,4
33 eilėraščiai. 33 wiersze,Wisława Szymborska,"Poezija, drama, esė",2022,140,0,0,0,Apostrofa,"15 x 21 x 1,2 cm, minkšti viršeliai","Lietuvių, Lenkų",0,4
"333 dalykai, kurie privers tave nusišypsoti",Wisława Szymborska,Humoras ir komiksai,2007,72,0,0,5.79,Šviesa,"15,5 x 16 cm, kieti viršeliai",Lietuvių,0,0
